Type;Immatriculation;Marque;Modele;Prix;Km;Etat;Divers1;Divers2
Moto;ZL-744-GB;Harley-Davidson;Road Glide;218;48080;Disponible;1000;A
Moto;ZG-299-LW;Yamaha;R1;72;58388;Disponible;1300;A
CampingCar;EX-405-FK;Fiat;Talento;185;30993;Disponible;8.8;5
Moto;WM-884-YE;Suzuki;GSX-S1000;129;35455;Disponible;1100;A
CampingCar;VJ-882-CA;Fiat;Ducato;353;40095;Disponible;7.4;5
CampingCar;BH-804-YN;Peugeot;Traveller;212;34404;Disponible;6.0;5
Moto;AO-781-UY;Kawasaki;Z900;230;88862;Disponible;600;A2
Voiture;CB-677-SS;Opel;Grandland;68;94111;Disponible;2;Oui
Moto;YD-239-SC;Honda;X-ADV;57;39931;Loué;1800;A
Moto;LV-436-IM;Ducati;Scrambler;238;12478;Disponible;750;A
Voiture;JF-386-MF;Renault;Kangoo;133;31213;En maintenance;2;Oui
Voiture;GI-065-IZ;Citroën;C4 X;37;189408;Disponible;2;Oui
Voiture;ZE-113-BF;Audi;A3;101;53178;Disponible;5;Oui
Voiture;WA-309-VQ;Dacia;Duster;58;171289;Disponible;2;Oui
Voiture;RQ-840-RX;Mini;Countryman;134;189197;Disponible;4;Oui
Voiture;CN-953-ZL;Toyota;Yaris Cross;72;192422;Disponible;5;Oui
Voiture;GT-817-DC;Volkswagen;Tiguan;135;85518;Disponible;9;Oui
CampingCar;TH-400-EO;Renault;Kangoo;277;241951;Disponible;7.0;5
CampingCar;TH-483-JZ;Ford;Ranger (Cellule);103;54065;Loué;7.0;7
CampingCar;IQ-776-XC;Ford;Transit Custom;242;11282;Disponible;7.1;4
Voiture;OO-827-DU;BMW;Serie 4;41;11020;Disponible;2;Oui
Voiture;KG-695-EB;Volvo;V60;178;90446;Disponible;5;Oui
Voiture;RK-556-WL;Opel;Mokka;49;165326;Disponible;9;Oui
Moto;HE-004-EE;Suzuki;V-Strom 650;172;98803;Disponible;1300;A
Voiture;GI-958-FN;Fiat;Tipo;171;107123;En maintenance;4;Oui
Voiture;IW-663-RM;Dacia;Spring;198;175703;Loué;5;Oui
Moto;PJ-848-JX;KTM;Adventure 890;80;72768;Disponible;125;A2
Voiture;ZA-437-SU;Seat;Ibiza;89;19006;Disponible;9;Oui
Voiture;ZO-966-OQ;Mercedes;GLB;78;57394;Loué;2;Oui
Moto;BJ-770-GF;Kawasaki;Ninja 650;112;99211;Disponible;1250;A
Moto;JF-796-FM;BMW;F900XR;180;44331;Disponible;500;A2
CampingCar;XA-060-BQ;Citroën;SpaceTourer;389;183323;Disponible;6.5;2
Voiture;EA-235-PM;Peugeot;208;51;177371;Disponible;5;Non
Moto;VJ-595-RQ;Suzuki;V-Strom 1050;221;87835;Disponible;125;A2
CampingCar;FS-695-KI;Citroën;SpaceTourer;101;132746;Disponible;7.9;5
Voiture;OQ-161-CE;Peugeot;5008;197;103254;Loué;2;Oui
Voiture;YJ-739-GG;Volvo;XC40;173;77733;Disponible;5;Oui
Moto;CY-116-FS;Harley-Davidson;Street Glide;117;36356;Loué;1000;A
Moto;YA-542-UP;Kawasaki;Versys 650;84;91917;Disponible;1100;A
Voiture;SY-114-IU;Volvo;XC40;66;91411;Disponible;5;Oui
Voiture;OL-258-PE;Dacia;Jogger;146;169166;Loué;5;Oui
